iter	RMSE
0	68052.66117
1	64320.35117
2	60769.62277
3	57584.06808
4	55035.05701
5	52606.46453
6	50454.71709
7	48557.9397
8	46839.71094
9	45427.92132
10	43899.58123
11	42657.85706
12	41372.95661
13	40272.00878
14	39112.57019
15	38407.08272
16	37490.08271
17	36705.24747
18	36034.70785
19	35430.0089
20	34785.04802
21	34112.58144
22	33580.02821
23	33079.5725
24	32592.20332
25	32198.85755
26	31717.1227
27	31319.03855
28	30960.99192
29	30569.10862
30	30221.80645
31	29817.09995
32	29433.05356
33	29167.36538
34	28977.88214
35	28684.91733
36	28460.95321
37	28306.70111
38	27851.50426
39	27679.78805
40	27479.75063
41	27255.72629
42	27040.70476
43	26898.79041
44	26682.64024
45	26509.08646
46	26195.6418
47	25956.73995
48	25805.10446
49	25685.3485
50	25578.64317
51	25472.33534
52	25312.16666
53	25119.28804
54	25015.91297
55	24871.66377
56	24720.68226
57	24505.58824
58	24377.26067
59	24255.23454
60	24181.47822
61	24060.55045
62	23851.09001
63	23780.86601
64	23639.68149
65	23530.94425
66	23382.24054
67	23272.61844
68	23222.77488
69	23142.02797
70	23042.63376
71	22983.17859
72	22882.62046
73	22804.02035
74	22602.27416
75	22508.07222
76	22405.9887
77	22316.20607
78	22238.4435
79	22143.74968
80	22068.8686
81	21982.82959
82	21931.69887
83	21809.75414
84	21727.29256
85	21553.89317
86	21477.61424
87	21376.41397
88	21288.40477
89	21193.22575
90	21129.15607
91	21082.4743
92	21017.79011
93	20956.79834
94	20859.03696
95	20821.7931
96	20802.07635
97	20727.34292
98	20634.83161
99	20537.64044
100	20390.67485
101	20284.56659
102	20237.62495
103	20120.09315
104	19996.98275
105	19890.75212
106	19770.21395
107	19705.84106
108	19638.73318
109	19554.27388
110	19479.19003
111	19418.62586
112	19343.38549
113	19304.09155
114	19258.1098
115	19197.51809
116	19135.5864
117	19097.61092
118	19043.42825
119	18960.77165
120	18912.58096
121	18829.347
122	18739.80054
123	18679.56985
124	18615.96892
125	18571.69072
126	18540.09874
127	18489.41345
128	18425.89666
129	18332.25094
130	18264.64981
131	18221.8795
132	18156.22296
133	18089.71225
134	18053.97833
135	17953.58774
136	17904.12701
137	17880.87987
138	17852.0876
139	17829.16708
140	17749.50705
141	17726.71402
142	17701.74893
143	17571.3421
144	17529.09588
145	17506.1528
146	17464.3726
147	17442.63885
148	17347.59957
149	17293.16298
150	17247.82751
151	17137.26134
152	17113.9264
153	17063.654
154	17048.31861
155	16982.02359
156	16906.68543
157	16865.13932
158	16837.419
159	16754.28166
160	16703.28948
161	16689.15593
162	16650.43469
163	16615.91402
164	16576.80117
165	16543.38308
166	16439.5099
167	16351.86783
168	16333.64814
169	16269.13467
170	16226.1501
171	16173.6553
172	16078.03115
173	16018.84549
174	15964.40024
175	15924.29052
176	15912.19984
177	15895.52667
178	15851.58142
179	15816.15725
180	15756.89525
181	15744.87398
182	15685.86434
183	15656.33752
184	15626.22083
185	15592.22588
186	15559.69034
187	15483.54761
188	15444.97945
189	15417.98351
190	15393.36013
191	15340.50498
192	15314.9579
193	15266.02854
194	15249.69325
195	15199.18771
196	15139.77375
197	15107.9154
198	15089.62961
199	15072.63979
200	15015.29144
201	14965.74331
202	14881.4737
203	14820.2315
204	14784.19653
205	14727.3324
206	14715.76509
207	14660.2791
208	14638.79187
209	14586.95416
210	14560.42925
211	14541.47255
212	14515.73017
213	14480.88616
214	14473.93669
215	14463.33774
216	14446.10697
217	14414.2279
218	14397.82753
219	14379.00715
220	14337.9036
221	14309.1205
222	14289.70926
223	14288.14451
224	14267.06254
225	14261.04415
226	14251.05127
227	14225.31976
228	14178.79816
229	14166.5031
230	14124.40231
231	14097.54556
232	14062.14872
233	14024.55937
234	13997.66025
235	13988.98802
236	13951.33062
237	13924.89805
238	13912.23163
239	13864.5298
240	13850.42038
241	13818.57808
242	13772.02606
243	13736.80106
244	13713.04287
245	13657.99846
246	13641.98256
247	13614.27992
248	13585.06539
249	13546.4198
250	13535.27176
251	13524.1498
252	13514.95535
253	13486.83807
254	13464.1699
255	13434.50868
256	13407.00834
257	13374.59288
258	13342.62072
259	13313.09711
260	13297.61949
261	13257.00844
262	13236.94729
263	13215.22804
264	13201.96367
265	13199.47371
266	13170.89653
267	13137.57438
268	13133.80153
269	13106.77889
270	13103.81243
271	13103.14065
272	13091.48238
273	13067.16403
274	13063.38279
275	13051.19482
276	13023.45306
277	12993.65857
278	12970.89422
279	12945.45556
280	12921.30591
281	12892.72121
282	12861.0069
283	12816.07929
284	12808.14808
285	12778.16441
286	12753.75494
287	12743.8202
288	12741.57053
289	12718.63465
290	12689.67468
291	12672.54284
292	12651.2062
293	12618.47322
294	12579.73544
295	12558.17273
296	12555.41215
297	12536.00891
298	12518.10479
299	12471.69148
