iter	Passed	Remaining
0	302	90456
1	546	81453
2	786	77878
3	1337	99005
4	1871	110403
5	2241	109831
6	2579	107966
7	2933	107085
8	3384	109422
9	3780	109628
10	4129	108481
11	4494	107872
12	4851	107101
13	5202	106282
14	5546	105376
15	5914	104973
16	6268	104355
17	6601	103420
18	6971	103104
19	7306	102293
20	7663	101814
21	8005	101164
22	8372	100830
23	8757	100714
24	9090	100000
25	9427	99351
26	9810	99192
27	10168	98780
28	10547	98566
29	10943	98495
30	11294	98003
31	11670	97739
32	12072	97677
33	12413	97115
34	12794	96873
35	13159	96502
36	13539	96243
37	13904	95864
38	14255	95400
39	14538	94497
40	15077	95244
41	15487	95136
42	15868	94840
43	16256	94586
44	16596	94044
45	16979	93757
46	17342	93354
47	17802	93465
48	18168	93067
49	18542	92710
50	18933	92442
51	19274	91926
52	19657	91609
53	20016	91187
54	20380	90787
55	20746	90394
56	21196	90364
57	21591	90090
58	22116	90338
59	22573	90293
60	23149	90698
61	23817	91428
62	25010	94088
63	25457	93872
64	25944	93800
65	26748	94836
66	27550	95809
67	27930	95291
68	28262	94618
69	28617	94029
70	28977	93464
71	29372	93013
72	29729	92447
73	30091	91899
74	30431	91293
75	30777	90712
76	31254	90515
77	31580	89882
78	31918	89290
79	32231	88637
80	32555	88019
81	32904	87477
82	33249	86929
83	33591	86379
84	33934	85834
85	34323	85408
86	34694	84941
87	35169	84727
88	35541	84260
89	35922	83818
90	36290	83348
91	36659	82882
92	37012	82383
93	37399	81960
94	37765	81494
95	38117	80999
96	38473	80516
97	38794	79964
98	39055	79295
99	39369	78739
100	39702	78226
101	40027	77700
102	40371	77216
103	40646	76602
104	40933	76019
105	41211	75425
106	41505	74865
107	41833	74370
108	42160	73878
109	42528	73457
110	42853	72967
111	43182	72484
112	43538	72049
113	43871	71579
114	44230	71152
115	44585	70722
116	44967	70333
117	45321	69902
118	45697	69506
119	46111	69166
120	46478	68757
121	46812	68299
122	47168	67877
123	47516	67442
124	47952	67133
125	48324	66734
126	48657	66281
127	49072	65941
128	49406	65492
129	49728	65029
130	50073	64598
131	50415	64165
132	50758	63734
133	51094	63296
134	51438	62869
135	51810	62477
136	52251	62168
137	52624	61776
138	52974	61358
139	53332	60951
140	53666	60517
141	54016	60102
142	54333	59653
143	54673	59229
144	55018	58813
145	55375	58409
146	55729	58004
147	56060	57575
148	56454	57212
149	56823	56823
150	57169	56412
151	57535	56021
152	57929	55657
153	58283	55255
154	58629	54846
155	58921	54389
156	59257	53973
157	59555	53524
158	59850	53075
159	60165	52644
160	60550	52276
161	60874	51856
162	61206	51443
163	61562	51051
164	61934	50673
165	62285	50278
166	62681	49920
167	63022	49517
168	63367	49119
169	63708	48718
170	64037	48308
171	64384	47914
172	64727	47516
173	65066	47116
174	65393	46709
175	65734	46312
176	66120	45948
177	66498	45577
178	66836	45179
179	67141	44761
180	67405	44316
181	67702	43894
182	68086	43530
183	68435	43144
184	68819	42779
185	69180	42400
186	69514	42006
187	69887	41634
188	70191	41223
189	70540	40839
190	70880	40450
191	71236	40070
192	71608	39700
193	71982	39330
194	72463	39018
195	72910	38687
196	73330	38340
197	73660	37946
198	74111	37614
199	74585	37292
200	74975	36928
201	75346	36554
202	75698	36171
203	76025	35776
204	76330	35372
205	76631	34967
206	76941	34568
207	77222	34156
208	77604	33789
209	77869	33372
210	78167	32970
211	78443	32561
212	78777	32176
213	79082	31780
214	79382	31383
215	79691	30991
216	79996	30597
217	80315	30210
218	80647	29828
219	80966	29442
220	81359	29083
221	81809	28743
222	82394	28450
223	82923	28134
224	83317	27772
225	83737	27418
226	84180	27071
227	84644	26729
228	85285	26442
229	85769	26103
230	86177	25741
231	86576	25375
232	86999	25016
233	87414	24655
234	87807	24287
235	88217	23923
236	88615	23555
237	88965	23175
238	89281	22787
239	89619	22404
240	89971	22026
241	90271	21635
242	90621	21256
243	90947	20873
244	91250	20484
245	91580	20103
246	91894	19718
247	92218	19336
248	92525	18951
249	92867	18573
250	93281	18210
251	93646	17837
252	94018	17465
253	94371	17090
254	94704	16712
255	95053	16337
256	95419	15965
257	95785	15593
258	96135	15218
259	96476	14842
260	96874	14475
261	97208	14098
262	97672	13740
263	98150	13384
264	98547	13015
265	98924	12644
266	99308	12274
267	99670	11900
268	100029	11527
269	100432	11159
270	100795	10786
271	101172	10414
272	101566	10045
273	101972	9676
274	102340	9303
275	102681	8928
276	103010	8553
277	103459	8187
278	103815	7814
279	104195	7442
280	104517	7067
281	104849	6692
282	105195	6319
283	105544	5946
284	105905	5573
285	106392	5208
286	106769	4836
287	107129	4463
288	107626	4096
289	108085	3727
290	108460	3354
291	108813	2981
292	109214	2609
293	109601	2236
294	109948	1863
295	110397	1491
296	110687	1118
297	110924	744
298	111293	372
299	111622	0
